dew,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,Day,Month,Year,temp
11.4,61.9,32.4,14.8,205,1019.1,6.5,5.8,168.3,14.6,6,0.52,Clear,1,1,2010,19.3
9.1,50.2,32.4,27.7,202.2,1016.5,14.2,5.1,164.3,14.2,6,0.56,Clear,2,1,2010,20.3
9.7,56.3,32.4,16.6,263,1017,11.1,8.4,166.1,14.2,6,0.59,Clear,3,1,2010,18.6
10.6,68.1,32.4,13,324.2,1018.8,17.6,6.8,169.2,14.6,6,0.62,Clear,4,1,2010,16.7
11,70,32.4,20.5,34,1020.1,19.8,6.1,168.5,14.7,6,0.66,Clear,5,1,2010,16.8
10,66.8,32.4,29.5,51.5,1019.5,1.9,10,172.5,15,7,0.69,Clear,6,1,2010,16.5
10.6,71.3,32.4,11.2,356.5,1019,0,4.5,171.2,14.9,7,0.75,Clear,7,1,2010,16.1
12.4,72,32.4,11.2,7.3,1020.3,0,4.2,170.5,14.6,6,0.76,Clear,8,1,2010,17.7
10,59.6,32.4,13,33,1019.7,0,6.8,179.7,15.4,7,0.8,Clear,9,1,2010,18.6
8.3,56.7,32.4,13,208,1018.1,5.5,5.7,177.6,15.2,7,0.83,Clear,10,1,2010,18.2
9.1,56.8,32.4,16.6,4.3,1018.6,7.2,4.7,171.1,14.7,6,0.87,Clear,11,1,2010,18
11.2,72.2,32.4,13,39.6,1016.2,58.4,7.8,119.4,10.3,5,0.9,Partially cloudy,12,1,2010,16.3
9.6,64.7,32.4,11.2,267.4,1014.6,4.2,5,166,14.3,6,0.94,Clear,13,1,2010,16.6
6.1,50.4,32.4,33.5,201.1,1015.5,30.6,7.3,171.3,14.8,7,0.97,Partially cloudy,14,1,2010,17
4.2,41.3,32.4,18.4,194,1017.4,0.3,8.5,176.5,15.3,7,0,Clear,15,1,2010,17.8
4.6,43.6,32.4,14.8,72.7,1015.9,10.7,8,175.7,15.1,7,0.04,Clear,16,1,2010,17.6
4.6,41.6,32.4,22.3,258.5,1013.7,19.9,6.7,147.3,12.9,5,0.07,Rain,17,1,2010,18.4
7.4,54.2,32.4,27.7,257.3,1012.2,47.2,7.6,123.5,10.7,5,0.1,"Rain, Partially cloudy",18,1,2010,17
8.4,62.2,32.4,31.3,205.4,1014.4,52.8,8.4,165,14.3,7,0.14,Partially cloudy,19,1,2010,15.7
8.4,63.6,32.4,27.7,249.8,1016.2,55.7,7.6,177.2,15.4,7,0.17,Partially cloudy,20,1,2010,15.7
6.4,57.5,32.4,16.6,241.6,1020.7,14.8,9,182.5,15.7,7,0.2,Clear,21,1,2010,15.1
5.3,49.1,32.4,25.9,180.6,1018.3,15.7,9.8,176.4,15.3,7,0.24,Clear,22,1,2010,16.3
5.8,47.6,32.4,22.3,234.6,1017.3,2.1,6.8,178.7,15.5,7,0.25,Clear,23,1,2010,17.1
3.9,47.4,32.4,44.3,236.8,1016.3,21.9,6.5,187.5,16.3,7,0.3,Partially cloudy,24,1,2010,15.4
6.5,62,32.4,20.5,284.4,1021.2,57.2,9.1,182.2,15.6,7,0.34,Partially cloudy,25,1,2010,13.9
